id,project_name,transactionNetworkId,userId,currency,amount,amountUSD,createdAt,projectId,score,mbdScore,isBadgeholder,isQfEligible,isSelfDonation
238691429,WEBCAT,1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.333Z,16870,16,51,TRUE,TRUE,FALSE
238691430,Verity: Formal Verification for Smart Contracts,1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.283Z,16833,16,51,TRUE,TRUE,FALSE
238691431,Vyper,1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.302Z,14490,16,51,TRUE,TRUE,FALSE
238691432,"Firefly, open-source hardware wallet",1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.297Z,17100,16,51,TRUE,TRUE,FALSE
238691433,Sourcify,1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.305Z,16173,16,51,TRUE,TRUE,FALSE
238691434,ZachXBT,1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.303Z,16822,16,51,TRUE,TRUE,FALSE
238691435,Echidna: A Fast Smart Contract Fuzzer,1,Donor 3381,FINN,5,11.2284,2026-05-13T16:24:16.461Z,16194,16,51,TRUE,TRUE,FALSE
238691436,snekmate,1,Donor 3381,FINN,5,11.2284,2026-05-13T16:24:18.662Z,16209,16,51,TRUE,TRUE,FALSE
238691437,"Firefly, open-source hardware wallet",1,Donor 3381,FINN,5,11.2284,2026-05-13T16:24:18.686Z,17100,16,51,TRUE,TRUE,FALSE
238691438,Zodiac,1,Donor 3381,FINN,26,58.38768,2026-05-13T16:24:18.693Z,16900,16,51,TRUE,TRUE,FALSE
238691439,Fuzzing for ZK Systems - privacy is normal but not safe,1,Donor 3381,FINN,5,11.2284,2026-05-13T16:24:18.702Z,16952,16,51,TRUE,TRUE,FALSE
238691441,Blockscout Open-Source Block Explorer,1,Donor 3382,USDC,20,19.97126,2026-05-13T16:24:51.894Z,3452,0,40,FALSE,FALSE,FALSE
238691442,Rekt News - Ethereum's Security Intelligence Layer,1,Donor 3383,USDC,69,69,2026-05-13T16:27:38.661Z,16916,0,3,FALSE,FALSE,FALSE
238691443,Cyfrin Updraft,1,Donor 3383,USDC,5,5,2026-05-13T16:27:38.743Z,16920,0,3,FALSE,FALSE,FALSE
238691444,Pharos Watch: Transparent Stablecoins Analytics,1,Donor 3383,USDC,5,5,2026-05-13T16:27:38.732Z,16843,0,3,FALSE,FALSE,FALSE
238691445,Grego AI,1,Donor 3383,USDC,5,5,2026-05-13T16:27:38.773Z,16801,0,3,FALSE,FALSE,FALSE
238691446,Specter - On-Chain Security Research and Investigator,1,Donor 3383,USDC,5,5,2026-05-13T16:27:41.123Z,16832,0,3,FALSE,FALSE,FALSE
238691447,Aragon,1,Donor 3383,USDC,5,5,2026-05-13T16:27:41.138Z,16795,0,3,FALSE,FALSE,FALSE
238691450,human.tech,10,Donor 3384,ETH,0.000044,0.09901672,2026-05-13T16:33:00.974Z,16899,,,FALSE,FALSE,FALSE
238691452,Self-Custodial Agent Authorization for Ethereum,1,Donor 3385,ETH,0.01,22.5038,2026-05-13T16:33:16.482Z,16790,0,30,FALSE,FALSE,FALSE
238691453,human.tech,10,Donor 3386,USDC,5.04,5.04504,2026-05-13T16:33:22.832Z,16899,31.321,5,FALSE,TRUE,FALSE
238691456,Rekt News - Ethereum's Security Intelligence Layer,10,Donor 3387,OP,0.15,0.0219705,2026-05-13T16:35:36.905Z,16916,,,FALSE,FALSE,FALSE
238691458,human.tech,1,Donor 3388,ETH,0.0025,5.627975,2026-05-13T16:37:02.810Z,16899,31.321,5,FALSE,TRUE,FALSE
238691459,Remix Project,10,Donor 3389,USDC,10,9.99688,2026-05-13T16:37:06.240Z,16200,16.026,-1,FALSE,TRUE,FALSE
238691460,SCAR: AI Retrieval for Smart Contract Security,10,Donor 3389,USDC,107,106.966616,2026-05-13T16:37:06.374Z,16947,16.026,-1,FALSE,TRUE,FALSE
238691461,DeFiScan,10,Donor 3389,USDC,18,17.994384,2026-05-13T16:37:06.372Z,14863,16.026,-1,FALSE,TRUE,FALSE
